field,coverage_pct,filled,total,missing
"auditor_report",0.00,0,43,43
"board_report",0.00,0,43,43
"chairman_statement",0.00,0,43,43
"environmental",0.00,0,43,43
"events",0.00,0,43,43
"fees",0.00,0,43,43
"fees.annual_fee_per_sqm",0.00,0,43,43
"fees.annual_fee_per_sqm.alternative_values",0.00,0,43,43
"fees.annual_fee_per_sqm.evidence_pages",0.00,0,43,43
"fees.annual_fee_per_sqm.extraction_method",0.00,0,43,43
"fees.annual_fee_per_sqm.extraction_timestamp",0.00,0,43,43
"fees.annual_fee_per_sqm.model_used",0.00,0,43,43
"fees.annual_fee_per_sqm.original_string",0.00,0,43,43
"fees.annual_fee_per_sqm.validation_status",0.00,0,43,43
"fees.arsavgift_per_apartment_avg",0.00,0,43,43
"fees.arsavgift_per_sqm_total",0.00,0,43,43
"fees.arsavgift_per_sqm_total.alternative_values",0.00,0,43,43
"fees.arsavgift_per_sqm_total.evidence_pages",0.00,0,43,43
"fees.arsavgift_per_sqm_total.extraction_method",0.00,0,43,43
"fees.arsavgift_per_sqm_total.extraction_timestamp",0.00,0,43,43
"fees.arsavgift_per_sqm_total.model_used",0.00,0,43,43
"fees.arsavgift_per_sqm_total.original_string",0.00,0,43,43
"fees.arsavgift_per_sqm_total.validation_status",0.00,0,43,43
"fees.fee_1_rok",0.00,0,43,43
"fees.fee_2_rok",0.00,0,43,43
"fees.fee_3_rok",0.00,0,43,43
"fees.fee_4_rok",0.00,0,43,43
"fees.fee_5_rok",0.00,0,43,43
"fees.fee_calculation_basis",0.00,0,43,43
"fees.fee_excludes",0.00,0,43,43
"fees.fee_includes",0.00,0,43,43
"fees.inkluderar_bredband",0.00,0,43,43
"fees.inkluderar_el",0.00,0,43,43
"fees.inkluderar_uppvarmning",0.00,0,43,43
"fees.inkluderar_vatten",0.00,0,43,43
"fees.last_fee_increase_date",0.00,0,43,43
"fees.last_fee_increase_percentage",0.00,0,43,43
"fees.manadsavgift_per_apartment_avg",0.00,0,43,43
"fees.manadsavgift_per_sqm",0.00,0,43,43
"fees.monthly_fee_average",0.00,0,43,43
"fees.monthly_fee_per_sqm",0.00,0,43,43
"fees.planned_fee_changes",0.00,0,43,43
"fees.special_assessments",0.00,0,43,43
"fees.terminology_found",0.00,0,43,43
"fees.unit_verified",0.00,0,43,43
"financial",0.00,0,43,43
"financial.balance_sheet.assets_line_items",0.00,0,43,43
"financial.balance_sheet.assets_total",0.00,0,43,43
"financial.balance_sheet.assets_total.alternative_values",0.00,0,43,43
"financial.balance_sheet.assets_total.evidence_pages",0.00,0,43,43
"financial.balance_sheet.assets_total.extraction_method",0.00,0,43,43
"financial.balance_sheet.assets_total.extraction_timestamp",0.00,0,43,43
"financial.balance_sheet.assets_total.model_used",0.00,0,43,43
"financial.balance_sheet.assets_total.original_string",0.00,0,43,43
"financial.balance_sheet.assets_total.validation_status",0.00,0,43,43
"financial.balance_sheet.current_assets",0.00,0,43,43
"financial.balance_sheet.equity_total",0.00,0,43,43
"financial.balance_sheet.equity_total.alternative_values",0.00,0,43,43
"financial.balance_sheet.equity_total.evidence_pages",0.00,0,43,43
"financial.balance_sheet.equity_total.extraction_method",0.00,0,43,43
